"SUID","__mclCluster","name","selected","shared name"
"617386","1","DOCK4","false","DOCK4"
"617387","1","C11orf84","false","C11orf84"
"617388","1","BCLAF1","false","BCLAF1"
"617389","1","HNRNPH1","false","HNRNPH1"
"617390","1","RBM10","false","RBM10"
"617391","1","ATP13A2","false","ATP13A2"
"617392","1","CXCR4","false","CXCR4"
"617393","1","DAPK3","false","DAPK3"
"617394","1","RNF126","false","RNF126"
"617395","1","JDP2","false","JDP2"
"617396","1","CDKN2AIP","false","CDKN2AIP"
"617397","1","SEC61B","false","SEC61B"
"617398","1","UBE2M","false","UBE2M"
"617399","1","CIAO1","false","CIAO1"
"617400","1","MAGED2","false","MAGED2"
"617401","1","EIF4EBP1","false","EIF4EBP1"
"617402","1","LRRK2","false","LRRK2"
"617403","1","KSR1","false","KSR1"
"617404","1","GGA3","false","GGA3"
"617405","1","RERE","false","RERE"
"617406","1","GFI1B","false","GFI1B"
"617407","1","CIC","false","CIC"
"617408","1","SCAMP1","false","SCAMP1"
"617409","1","COPA","false","COPA"
"617410","1","TMED10","false","TMED10"
"617411","1","WDR83","false","WDR83"
"617412","11","MEX3B","false","MEX3B"
"617413","1","RAE1","false","RAE1"
"617414","1","TAF5","false","TAF5"
"617415","1","RAB5A","false","RAB5A"
"617416","1","AMBRA1","false","AMBRA1"
"617417","1","ALYREF","false","ALYREF"
"617418","1","ARID5A","false","ARID5A"
"617419","1","ATXN10","false","ATXN10"
"617420","1","CSNK1D","false","CSNK1D"
"617421","1","ARID3A","false","ARID3A"
"617422","1","NACC1","false","NACC1"
"617423","1","ZBTB33","false","ZBTB33"
"617424","1","SACM1L","false","SACM1L"
"617425","1","WHSC1","false","WHSC1"
"617426","1","TAX1BP3","false","TAX1BP3"
"617427","1","ERCC8","false","ERCC8"
"617428","4","CCNB1IP1","false","CCNB1IP1"
"617429","1","MAGI2","false","MAGI2"
"617430","1","TXNRD1","false","TXNRD1"
"617431","1","NLRP2","false","NLRP2"
"617432","1","BRMS1","false","BRMS1"
"617433","1","ITPK1","false","ITPK1"
"617434","13","BFAR","false","BFAR"
"617435","1","NME1","false","NME1"
"617436","1","PRNP","false","PRNP"
"617437","1","CD99","false","CD99"
"617438","1","RNF2","false","RNF2"
"617439","1","PDCD5","false","PDCD5"
"617440","1","ANG","false","ANG"
"617441","1","CTBP2","false","CTBP2"
"617442","1","UBD","false","UBD"
"617443","1","MUL1","false","MUL1"
"617444","1","MID1","false","MID1"
"617445","1","DMTF1","false","DMTF1"
"617446","1","RIN1","false","RIN1"
"617447","1","STAM2","false","STAM2"
"617448","1","EPS8","false","EPS8"
"617449","1","STK3","false","STK3"
"617450","1","CCNA1","false","CCNA1"
"617451","16","ARMCX2","false","ARMCX2"
"617452","1","HAP1","false","HAP1"
"617453","1","PPHLN1","false","PPHLN1"
"617454","1","PSMD7","false","PSMD7"
"617455","1","ZHX1","false","ZHX1"
"617456","16","NEFL","false","NEFL"
"617457","11","TNRC6C","false","TNRC6C"
"617458","1","NEDD8","false","NEDD8"
"617459","1","CAND1","false","CAND1"
"617460","1","DCUN1D1","false","DCUN1D1"
"617461","1","CUL2","false","CUL2"
"617462","1","CUL5","false","CUL5"
"617463","1","CUL4B","false","CUL4B"
"617464","1","CUL3","false","CUL3"
"617465","1","TFAP4","false","TFAP4"
"617466","1","VCP","false","VCP"
"617467","1","NQO1","false","NQO1"
"617468","1","DHCR24","false","DHCR24"
"617469","1","COMMD1","false","COMMD1"
